province,year,model,tech_innovation,tech_innovation_evidence,industrial_upgrade,industrial_upgrade_evidence,green_low_carbon,green_low_carbon_evidence,digital_empowerment,digital_empowerment_evidence,talent_support,talent_support_evidence,overall_summary
中央,2014,deepseek-v4-flash,5,推进创新驱动发展，全社会研发支出占比超2%，超级计算等关键技术突破，但缺少具体攻关举措。,5,加快产业结构调整，支持战略性新兴产业，第四代移动通信商用，但无具体新兴领域和转型路径。,8,明确淘汰燃煤小锅炉、推广新能源汽车、发展风能太阳能等具体双碳路径和能源转型措施。,3,仅提及信息网络建设和4G商用，无数据要素、算力、工业互联网等数字赋能具体内容。,3,提及大学生就业促进和职业培训，缺乏高层次人才计划、教育投入比例等直接关联新质生产力的内容。,2014年报告在新质生产力相关维度上，绿色低碳得分最高，有具体行动；科技创新和产业升级中等偏泛；数字赋能和人才支撑较为薄弱，总体偏重传统产业结构调整而非新兴生产力培育。
中央,2015,deepseek-v4-flash,6,实施创新驱动发展战略，打通科技成果转化通道，扩大中关村试点，超级计算、探月工程等取得突破,7,支持移动互联网、集成电路、高端装备制造、新能源汽车等战略性新兴产业，化解过剩产能,8,明确二氧化碳排放降低3.1%，主要污染物减排目标，推广新能源，发展风电光伏，节能环保产业,5,提及移动互联网、电子商务、物流快递、宽带用户，但缺乏数字基础设施和数据要素具体举措,3,提及科技人员创新活力，但无具体人才计划、教育投入目标或产教融合模式,2015年政府工作报告在绿色低碳和产业升级方面有较明确举措，科技创新提及具体项目但缺乏基础研究深度，数字赋能和人才支撑较为薄弱，整体与新质生产力框架存在较大差距。
中央,2016,deepseek-v4-flash,6,提出创新驱动发展战略、互联网+、中国制造2025，提及核电、C919等成果,7,一手抓新兴产业培育，一手抓传统产业改造，启动中国制造2025,5,单位GDP能耗下降5.6%，超额完成约束性指标，公布自主减排目标,4,落实互联网+行动计划，推动互联网与各行业融合，但缺具体基础设施,4,重点解决高校毕业生就业，深化教师职称改革，建设新型智库,2016年报告体现早期新质生产力萌芽，科技创新和产业升级有具体举措但深度不足；绿色低碳和数字赋能仅一般提及；人才支撑偏重就业和基础教育，缺乏高精尖人才专项。
中央,2017,deepseek-v4-flash,8,部署启动面向2030年的科技创新重大项目，支持北京、上海建设全球影响力科创中心，研发经费占比2.08%,7,全面实施《中国制造2025》，推动战略性新兴产业集群，加快大数据、云计算、物联网应用,6,单位GDP能耗下降5%，发展清洁能源，培育壮大节能环保产业，普遍推行垃圾分类,7,深入推进‘互联网+’和大数据战略，建设国家大数据综合试验区，促进数字经济加快成长,5,推进世界一流大学和一流学科建设，完善人才政策，培育精益求精的工匠精神,2017年报告在科技创新和数字赋能上有明确量化目标和重大项目，产业升级依托《中国制造2025》有具体方向，绿色低碳初具行动但无双碳路径，人才支撑偏重教育而缺乏专门的新质生产力人才计划。整体呈现新质生产力早期特征。
中央,2018,deepseek-v4-flash,8,明确提到载人航天、量子通信、大飞机等重大成果，启动一批科技创新重大项目，强化基础研究与应用基础研究。,8,提出推动集成电路、新能源汽车、新材料等新兴产业发展，加快制造强国建设，实施‘中国制造2025’示范区。,7,提出单位GDP能耗下降、打赢蓝天保卫战、发展清洁能源和新能源，有具体污染防治行动。,8,明确发展工业互联网、大数据、人工智能，创建‘中国制造2025’示范区，推动数字经济与实体经济融合。,6,提出加强国家创新体系建设、鼓励海外人才回国、推进职业教育改革，但缺乏具体人才计划与投入目标。,2018年报告虽未提出‘新质生产力’，但已在科技创新、产业升级、数字赋能方面有明确部署和具体产业方向，绿色低碳有污染防治举措，人才支撑相对泛化。总体反映当时政府推动高质量发展的初步框架。
中央,2019,deepseek-v4-flash,7,推进关键核心技术攻关，强化企业技术创新主体地位，科技进步贡献率提高到58.5%。,8,培育新一代信息技术、高端装备、生物医药、新能源汽车、新材料等新兴产业集群，推动传统产业改造提升。,6,单位GDP能耗下降3.1%，推进北方地区煤改气煤改电，全面开展蓝天碧水净土保卫战。,7,全面推进‘互联网+’，打造工业互联网平台拓展‘智能+’，壮大数字经济，加快5G商用。,5,弘扬工匠精神，加强高技能人才队伍建设，改革完善人才培养使用评价机制。,2019年报告已体现新质生产力初步内涵：明确关键核心技术攻关和新兴产业集群培育；绿色低碳与数字赋能均有具体行动，但缺乏双碳目标与数据要素市场等深度表述；人才支撑偏宏观。整体处于新质生产力概念萌芽阶段。
中央,2020,deepseek-v4-flash,4,提到‘科技创新取得一批重大成果’、‘加强疫苗、药物和快速检测技术研发投入’，但缺乏具体攻关领域和路径。,5,提出‘推动制造业升级和新兴产业发展’、‘发展智能制造’、‘改造提升传统产业’，但未明确具体新兴产业。,3,提及‘打好蓝天、碧水、净土保卫战’、‘壮大节能环保产业’，无碳达峰、碳中和或清洁能源目标。,4,提出‘发展工业互联网’、‘推进智能制造’、‘打造数字经济新优势’，但缺数据要素、算力等具体举措。,3,提到‘推动高等教育内涵式发展’、‘发展职业教育’，但无专门人才计划或高技能人才具体政策。,2020年政府工作报告重点在疫情防控和经济恢复，新质生产力概念尚未形成。科技创新、产业升级有一般性提及，绿色低碳、数字赋能和人才支撑仅简单涉及，缺乏具体目标和路径，整体与新质生产力关联较弱。
中央,2021,deepseek-v4-flash,8,建设国际科技创新中心和综合性国家科学中心；加强关键核心技术攻关,6,战略性新兴产业保持快速发展势头；推动产业数字化智能化改造,4,继续打好蓝天、碧水、净土保卫战；完成污染防治攻坚战阶段性目标任务,5,推动产业数字化智能化改造；线上办公、网络购物等广泛开展,4,实现高职院校扩招100万人目标；全面深化教育领域综合改革,该报告在科技创新部分有实质性举措（国家实验室、关键核心技术攻关），产业升级与数字赋能提及但缺乏具体产业和路径，绿色低碳仅为污染防治层面，人才支撑偏重教育扩招，整体对新质生产力要素的覆盖系统性不足。
中央,2022,deepseek-v4-flash,7,关键核心技术攻关取得重要进展；加强国家实验室建设；企业研发经费增长15.5%,6,高技术制造业增加值增长18.2%；传统产业数字化智能化改造加快；开展重点产业强链补链行动,8,出台碳达峰行动方案；启动全国碳排放权交易市场；可再生能源发电装机规模突破10亿千瓦,5,数字技术与实体经济加速融合；传统产业数字化智能化改造加快；推进公共文化数字化建设,3,加大农村义务教育薄弱环节建设；超额完成高职扩招目标；国家助学贷款额度提高,2022年政府工作报告虽未直接提出新质生产力，但在科技创新、绿色低碳方面有具体举措（关键核心技术攻关、碳达峰方案），产业升级和数字赋能有一定提及但缺乏深度，人才维度偏重基础教育而非新质生产力所需的高端人才。整体为新质生产力概念打下初步基础。
中央,2023,deepseek-v4-flash,8,关键核心技术攻关取得新突破，载人航天、量子信息等领域成果涌现，提出集中资源推进关键核心技术攻关。,7,加快建设现代化产业体系，推进产业强链补链，提升高端化、智能化、绿色化水平，大力发展数字经济。,8,推进能源清洁高效利用，加快建设新型能源体系，提升可再生能源占比，发展循环经济，推动重点领域节能降碳。,6,大力发展数字经济，支持平台经济，加快传统产业和中小企业数字化转型，但缺乏算力、数据要素等具体路径。,4,提出发展职业教育、推进高等教育创新，但未提及具体人才计划、高技能人才或领军人才引进政策。,报告在科技创新和绿色低碳维度有明确举措和具体领域，产业升级和数字赋能提及较多但缺乏深度，人才支撑仅为一般性教育表述，与新质生产力直接关联较弱。
